htime,haddend,hcum,vtime,vaddend,vcum,mess
0.6s,0.6s,600.0,0.1ms,0.1ms,0.1,
0.6s,0.32ms,600.32,0.1ms,0s,0.1, OpenSBI v0.9
0.6s,0.77ms,601.09,0.1ms,0s,0.1,    ____                    _____ ____ _____
0.6s,0.65ms,601.74,0.2ms,96µs,0.196,   / __ \                  / ____|  _ \_   _|
0.6s,0.45ms,602.19,0.2ms,0s,0.196,  | |  | |_ __   ___ _ __ | (___ | |_) || |
0.6s,0.51ms,602.7,0.3ms,0.1ms,0.29600000000000004,  | |  | | '_ \ / _ \ '_ \ \___ \|  _ < | |
0.6s,0.47ms,603.1700000000001,0.3ms,0s,0.29600000000000004,  | |__| | |_) |  __/ | | |____) | |_) || |_
0.6s,0.52ms,603.69,0.4ms,0.1ms,0.396,   \____/| .__/ \___|_| |_|_____/|____/_____|
0.6s,0.22ms,603.9100000000001,0.4ms,0s,0.396,         | |
0.6s,0.14ms,604.0500000000001,0.4ms,0s,0.396,         |_|
0.6s,43µs,604.0930000000001,0.4ms,0s,0.396,
0.61s,6.91ms,611.003,0.5ms,0.1ms,0.496, Platform Name             : StarFive VIC7100
0.61s,0.43ms,611.433,0.5ms,0s,0.496," Platform Features         : timer,mfdeleg"
0.61s,0.35ms,611.783,0.6ms,0.1ms,0.596, Platform HART Count       : 2
0.61s,0.36ms,612.143,0.6ms,0s,0.596, Firmware Base             : 0x80000000
0.61s,0.38ms,612.523,0.7ms,0.1ms,0.696, Firmware Size             : 92 KB
0.61s,0.31ms,612.833,0.7ms,0s,0.696, Runtime SBI Version       : 0.2
0.61s,49µs,612.882,0.7ms,0s,0.696,
0.61s,0.31ms,613.1919999999999,0.7ms,0s,0.696, Domain0 Name              : root
0.61s,0.35ms,613.5419999999999,0.8ms,0.1ms,0.7959999999999999, Domain0 Boot HART         : 0
0.61s,0.35ms,613.8919999999999,0.8ms,0s,0.7959999999999999," Domain0 HARTs             : 0*,1*"
0.61s,0.67ms,614.5619999999999,0.9ms,0.1ms,0.8959999999999999, Domain0 Region00          : 0x0000000080000000-0x000000008001ffff ()
0.62s,1.85ms,616.4119999999999,1ms,0.1ms,0.9959999999999999," Domain0 Region01          : 0x0000000000000000-0xffffffffffffffff (R,W,X)"
0.62s,0.43ms,616.8419999999999,1ms,0s,0.9959999999999999, Domain0 Next Address      : 0x0000000080020000
