htime,haddend,hcum,vtime,vaddend,vcum,mess
0.66s,0.66s,660.0,0.1ms,0.1ms,0.1,
0.66s,0.53ms,660.53,0.1ms,0s,0.1, OpenSBI v0.9
0.66s,0.34ms,660.87,0.1ms,0s,0.1,    ____                    _____ ____ _____
0.66s,0.34ms,661.21,0.2ms,96µs,0.196,   / __ \                  / ____|  _ \_   _|
0.66s,0.18ms,661.39,0.2ms,0s,0.196,  | |  | |_ __   ___ _ __ | (___ | |_) || |
0.66s,0.32ms,661.71,0.3ms,0.1ms,0.29600000000000004,  | |  | | '_ \ / _ \ '_ \ \___ \|  _ < | |
0.66s,0.21ms,661.9200000000001,0.3ms,0s,0.29600000000000004,  | |__| | |_) |  __/ | | |____) | |_) || |_
0.66s,0.31ms,662.23,0.4ms,0.1ms,0.396,   \____/| .__/ \___|_| |_|_____/|____/_____|
0.66s,0.1ms,662.33,0.4ms,0s,0.396,         | |
0.66s,0.13ms,662.46,0.4ms,0s,0.396,         |_|
0.66s,30µs,662.49,0.4ms,0s,0.396,
0.67s,7.82ms,670.3100000000001,0.5ms,0.1ms,0.496, Platform Name             : StarFive VIC7100
0.67s,0.54ms,670.85,0.5ms,0s,0.496," Platform Features         : timer,mfdeleg"
0.67s,0.34ms,671.19,0.6ms,0.1ms,0.596, Platform HART Count       : 2
0.67s,0.28ms,671.47,0.6ms,0s,0.596, Firmware Base             : 0x80000000
0.67s,0.23ms,671.7,0.7ms,0.1ms,0.696, Firmware Size             : 92 KB
0.67s,0.18ms,671.88,0.7ms,0s,0.696, Runtime SBI Version       : 0.2
0.67s,70µs,671.95,0.7ms,0s,0.696,
0.67s,0.4ms,672.35,0.7ms,0s,0.696, Domain0 Name              : root
0.67s,0.32ms,672.6700000000001,0.8ms,0.1ms,0.7959999999999999, Domain0 Boot HART         : 0
0.67s,0.36ms,673.0300000000001,0.8ms,0s,0.7959999999999999," Domain0 HARTs             : 0*,1*"
0.67s,0.58ms,673.6100000000001,0.9ms,0.1ms,0.8959999999999999, Domain0 Region00          : 0x0000000080000000-0x000000008001ffff ()
0.67s,0.5ms,674.1100000000001,1ms,0.1ms,0.9959999999999999," Domain0 Region01          : 0x0000000000000000-0xffffffffffffffff (R,W,X)"
0.67s,0.2ms,674.3100000000002,1ms,0s,0.9959999999999999, Domain0 Next Address      : 0x0000000080020000
0.67s,0.3ms,674.6100000000001,1.1ms,0.1ms,1.0959999999999999, Domain0 Next Arg1         : 0x0000000088000000
0.67s,0.18ms,674.7900000000001,1.1ms,0s,1.0959999999999999, Domain0 Next Mode         : S-mode
0.67s,0.3ms,675.09,1.2ms,0.1ms,1.196, Domain0 SysReset          : yes
0.67s,0.1ms,675.19,1.2ms,0s,1.196,
0.68s,9.04ms,684.23,1.2ms,0s,1.196, Boot HART ID              : 0
0.68s,0.29ms,684.52,1.3ms,0.1ms,1.296, Boot HART Domain          : root
0.68s,0.36ms,684.88,1.3ms,0s,1.296, Boot HART ISA             : rv64imafdcs
0.68s,0.51ms,685.39,1.4ms,0.1ms,1.3960000000000001," Boot HART Features        : scounteren,mcounteren,time"
0.68s,0.18ms,685.5699999999999,1.4ms,0s,1.3960000000000001, Boot HART PMP Count       : 16
0.68s,0.19ms,685.76,1.4ms,0s,1.3960000000000001, Boot HART PMP Granularity : 4
0.68s,0.27ms,686.03,1.5ms,0.1ms,1.4960000000000002, Boot HART PMP Address Bits: 54
0.68s,0.17ms,686.1999999999999,1.5ms,0s,1.4960000000000002, Boot HART MHPM Count      : 0
0.68s,0.15ms,686.3499999999999,1.5ms,0s,1.4960000000000002, Boot HART MHPM Count      : 0
0.68s,0.33ms,686.68,1.6ms,0.1ms,1.5960000000000003, Boot HART MIDELEG         : 0x0000000000000222
0.68s,0.19ms,686.87,1.6ms,0s,1.5960000000000003, Boot HART MEDELEG         : 0x000000000000b109
0.76s,73.42ms,760.29,32.6ms,31ms,32.596000000000004,
0.76s,73µs,760.3629999999999,32.6ms,0s,32.596000000000004,
0.76s,0.18ms,760.5429999999999,32.6ms,0s,32.596000000000004, U-Boot 2021.01-g7dac1a6e-dirty (Apr 26 2021 - 09:57:51 +0000)
0.76s,35µs,760.5779999999999,32.6ms,0s,32.596000000000004,
0.76s,0.65ms,761.2279999999998,32.8ms,0.2ms,32.79600000000001," ofnode_read_prop: riscv,isa: rv64imafdc"
0.76s,0.1ms,761.3279999999999,32.8ms,0s,32.79600000000001, CPU:   rv64imafdc
0.76s,0.26ms,761.5879999999999,32.9ms,0.1ms,32.89600000000001," Model: sifive,freedom-u74-arty"
0.77s,13.48ms,775.0679999999999,39.6ms,6.7ms,39.59600000000001, DRAM:  8 GiB
0.77s,2.09ms,777.1579999999999,40.3ms,0.7ms,40.296000000000014, ofnode_read_prop: tick-timer: <not found>
0.95s,0.17s,947.1579999999999,0.15s,0.11s,150.29600000000002, ofnode_read_u32_array: ranges: ofnode_read_u32_array: ranges: ofnode_read_u32_index: timebase-frequency: (not found)
0.95s,1.02ms,948.1779999999999,0.15s,0.1ms,150.39600000000002, ofnode_read_u32_index: timebase-frequency: 0x5f5e10 (6250000)
0.95s,1.67ms,949.8479999999998,0.15s,1.6ms,151.996, ofnode_read_u32_index: timebase-frequency: (not found)
0.95s,0.26ms,950.1079999999998,0.15s,0.1ms,152.096, ofnode_read_u32_index: timebase-frequency: 0x5f5e10 (6250000)
0.95s,2.83ms,952.9379999999999,0.16s,1.5ms,153.596, MMC:   VIC DWMMC0: 0
0.98s,26.78ms,979.7179999999998,0.18s,23.8ms,177.39600000000002, In:    serial
0.98s,0.12ms,979.8379999999999,0.18s,0s,177.39600000000002, Out:   serial
0.98s,92µs,979.9299999999998,0.18s,0s,177.39600000000002, Err:   serial
0.98s,1.96ms,981.8899999999999,0.18s,1.3ms,178.69600000000003," Model: sifive,freedom-u74-arty"
0.99s,5.6ms,987.4899999999999,0.18s,1.9ms,180.59600000000003, Net:   ofnode_read_prop: tick-timer: <not found>
0.99s,3.92ms,991.4099999999999,0.18s,0.73ms,181.32600000000002, dwmac.10020000
 1s,12.04ms,1003.4499999999998,0.2s,16.77ms,198.09600000000003, Hit any key to stop autoboot:  0
1.01s,5.2ms,1008.6499999999999,0.2s,0.7ms,198.79600000000002, ## Loading kernel from FIT Image at a0000000 ...
1.01s,0.83ms,1009.4799999999999,0.2s,0.3ms,199.09600000000003,    Using 'config-1' configuration
